date,no2,so2,pm2_5,pm10,o3,nh3,no
2020-11-25 06:30:00,7.63,4.83,59.67,63.2,47.92,0.93,0.0
2020-11-25 07:30:00,9.25,4.53,55.48,59.87,47.92,1.62,0.01
2020-11-25 08:30:00,10.03,3.93,46.39,51.32,53.64,1.9,0.06
2020-11-25 09:30:00,4.8,2.92,36.63,39.93,84.4,0.62,0.02
2020-11-25 10:30:00,4.03,3.34,39.14,42.52,92.98,0.66,0.03
2020-11-25 11:30:00,5.01,4.41,44.64,48.62,98.71,0.92,0.05
2020-11-25 12:30:00,5.27,4.47,40.2,43.93,98.71,1.06,0.21
2020-11-25 13:30:00,5.18,4.41,30.58,33.68,98.71,1.2,0.21
2020-11-25 14:30:00,4.63,4.23,19.09,21.49,94.41,1.36,0.16
2020-11-25 15:30:00,4.11,3.49,11.41,13.28,84.4,1.5,0.06
2020-11-25 16:30:00,4.11,2.95,8.56,10.13,79.39,1.73,0.02
2020-11-25 17:30:00,4.33,2.59,7.23,8.5,75.82,1.77,0.01
2020-11-25 18:30:00,7.71,3.1,8.47,10.26,69.38,3.1,0.0
2020-11-25 19:30:00,10.97,3.52,10.18,12.97,62.94,4.81,0.0
2020-11-25 20:30:00,12.34,3.49,11.18,15,57.94,5.64,0.0
2020-11-25 21:30:00,12.51,3.28,11.8,16.36,55.79,5.51,0.0
2020-11-25 22:30:00,11.31,3.1,11.8,16.67,58.65,5.19,0.0
2020-11-25 23:30:00,8.82,2.89,10.55,14.87,69.38,4.56,0.0
2020-11-26 00:30:00,4.37,2.27,7.09,9.13,91.55,2.79,0.0
2020-11-26 01:30:00,3.09,1.89,6.49,7.71,95.84,2.01,0.0
2020-11-26 02:30:00,2.53,1.89,6.58,7.44,95.84,1.57,0.0
2020-11-26 03:30:00,2.46,2.27,6.96,7.69,92.98,1.35,0.0
2020-11-26 04:30:00,2.64,2.68,7.02,7.67,90.84,1.24,0.0
2020-11-26 05:30:00,2.72,2.74,6.94,7.53,88.69,1.19,0.0
2020-11-26 06:30:00,2.83,2.47,7.21,7.88,87.26,1.22,0.0
2020-11-26 07:30:00,3.47,2.33,7.59,8.62,86.55,1.43,0.0
2020-11-26 08:30:00,4.46,2.3,7.47,8.83,84.4,1.6,0.01
2020-11-26 09:30:00,4.5,2.03,7.72,9.07,82.25,1.49,0.06
2020-11-26 10:30:00,4.76,2.12,8.9,10.2,82.25,1.54,0.1
2020-11-26 11:30:00,5.31,2.65,10.42,11.69,81.54,1.66,0.16
2020-11-26 12:30:00,5.31,3.49,12.15,13.48,82.25,1.96,0.33
2020-11-26 13:30:00,4.54,3.25,12.9,14.2,82.25,2.09,0.22
2020-11-26 14:30:00,3.86,2.59,12.01,13.06,80.11,1.93,0.14
2020-11-26 15:30:00,4.24,2.5,11.4,12.47,75.1,2.06,0.11
2020-11-26 16:30:00,5.74,2.8,11.26,12.42,69.38,2.38,0.07
2020-11-26 17:30:00,7.28,2.74,10.87,12.09,62.94,2.53,0.02
2020-11-26 18:30:00,8.4,2.62,10.81,12.06,57.94,2.5,0.0
2020-11-26 19:30:00,8.74,2.3,10.98,12.29,54.36,2.25,0.0
2020-11-26 20:30:00,7.71,1.7,10.44,11.81,50.78,1.87,0.0
2020-11-26 21:30:00,6.77,1.22,9.45,11,45.78,1.68,0.0
2020-11-26 22:30:00,6.94,1.1,8.94,11.01,39.7,1.76,0.0
2020-11-26 23:30:00,7.97,1.25,9.22,11.78,33.62,1.88,0.0
2020-11-27 00:30:00,9.34,1.57,10.11,12.97,27.9,2.03,0.0
2020-11-27 01:30:00,9.94,1.74,10.76,13.44,24.32,2.09,0.0
2020-11-27 02:30:00,9.85,1.77,10.96,13.29,22.71,2.06,0.0
2020-11-27 03:30:00,9.25,1.45,11.11,13.41,19.85,2.28,0.0
2020-11-27 04:30:00,8.48,1.06,11.35,13.89,15.91,2.66,0.01
2020-11-27 05:30:00,7.97,0.9,11.52,14.12,13.23,3.04,0.02
2020-11-27 06:30:00,8.82,1.03,11.96,14.79,11.44,3.01,0.11
2020-11-27 07:30:00,12.34,1.55,14.01,18.44,9.74,2.5,0.8
2020-11-27 08:30:00,12.17,3.04,19.18,24.77,18.95,2.12,2.91
2020-11-27 09:30:00,4.41,4.29,21.48,23.62,57.94,0.33,0.78
2020-11-27 10:30:00,2.83,3.73,22.6,24.74,73.67,0.69,0.52
2020-11-27 11:30:00,1.8,3.43,25.19,27.36,87.26,1.03,0.31
2020-11-27 12:30:00,1.09,2.83,24.41,26.29,94.41,1.17,0.18
2020-11-27 13:30:00,1,2.68,25.26,27.06,98.71,1.33,0.14
2020-11-27 14:30:00,1.13,2.77,26.49,28.27,105.86,1.44,0.14
2020-11-27 15:30:00,1.61,2.95,26.85,28.65,108.72,1.68,0.1
2020-11-27 16:30:00,2.53,3.34,27.58,29.55,110.15,2.15,0.12
2020-11-27 17:30:00,3.98,3.93,26.44,28.52,107.29,2.72,0.06
2020-11-27 18:30:00,6.68,4.83,25.53,27.87,98.71,3.77,0.0
2020-11-27 19:30:00,8.31,4.83,26.27,28.75,87.98,4.5,0.0
2020-11-27 20:30:00,8.14,3.67,26.08,28.58,73.67,4.56,0.0
2020-11-27 21:30:00,10.11,3.13,27.08,30.54,57.22,5.07,0.0
2020-11-27 22:30:00,12.17,2.98,28.83,33.5,43.99,4.56,0.0
2020-11-27 23:30:00,13.02,2.89,29.62,34.81,34.69,3.64,0.0
2020-11-28 00:30:00,12.68,2.65,30.25,35.39,29.33,3.29,0.0
2020-11-28 01:30:00,11.65,2.47,30.47,35.43,25.39,3.17,0.0
2020-11-28 02:30:00,10.8,2.47,31.48,36.03,21.82,2.98,0.0
2020-11-28 03:30:00,10.54,2.44,32.58,36.67,18.06,2.63,0.0
