date,no2,so2,pm2_5,pm10,o3,nh3,no
2020-11-25 06:30:00,3.86,7.57,34.47,35.78,117.3,0.74,0.0
2020-11-25 07:30:00,5.66,7.99,35.28,36.98,114.44,0.86,0.0
2020-11-25 08:30:00,7.54,7.87,32.87,34.75,104.43,0.9,0.0
2020-11-25 09:30:00,8.48,8.58,28.82,30.7,97.28,0.89,0.0
2020-11-25 10:30:00,8.05,8.94,26.1,27.92,95.84,0.88,0.0
2020-11-25 11:30:00,7.71,9.18,25.23,26.89,95.84,0.82,0.0
2020-11-25 12:30:00,7.2,8.58,24.82,26.25,94.41,0.72,0.01
2020-11-25 13:30:00,8.23,9.89,24.53,25.85,86.55,0.72,0.03
2020-11-25 14:30:00,9.25,11.09,19.84,21.1,65.8,0.73,0.05
2020-11-25 15:30:00,9.6,11.33,12.43,13.56,46.49,0.69,0.08
2020-11-25 16:30:00,10.45,12.04,7.86,8.89,32.9,0.67,0.04
2020-11-25 17:30:00,11.31,12.52,5.87,6.87,23.96,0.67,0.06
2020-11-25 18:30:00,11.48,12.76,5.01,6.15,22.53,0.74,0.07
2020-11-25 19:30:00,10.71,13.11,5.37,6.8,28.97,0.84,0.02
2020-11-25 20:30:00,9.94,13.59,7.28,8.88,41.13,0.86,0.0
2020-11-25 21:30:00,9.51,15.02,13.07,14.67,61.51,0.8,0.0
2020-11-25 22:30:00,9.08,16.21,21.29,22.85,80.11,0.78,0.0
2020-11-25 23:30:00,8.4,15.74,22.95,24.31,81.54,0.67,0.0
2020-11-26 00:30:00,7.54,15.5,24.67,25.84,78.68,0.35,0.0
2020-11-26 01:30:00,6.68,14.78,27.86,28.9,82.97,0.3,0.0
2020-11-26 02:30:00,5.83,12.4,24.97,26.01,88.69,0.4,0.0
2020-11-26 03:30:00,5.83,10.49,24.15,25.42,87.26,0.41,0.0
2020-11-26 04:30:00,5.57,8.35,22.85,23.88,83.69,0.37,0.0
2020-11-26 05:30:00,5.06,7.09,24.41,25.56,81.54,0.33,0.0
2020-11-26 06:30:00,6,7.99,23.5,24.97,75.82,0.41,0.0
2020-11-26 07:30:00,8.74,10.25,19.58,21.1,70.1,0.65,0.0
2020-11-26 08:30:00,11.82,11.92,17.26,18.5,62.94,0.85,0.01
2020-11-26 09:30:00,11.14,8.58,15.08,16.2,52.21,1.0,0.06
2020-11-26 10:30:00,7.97,5.84,11.83,12.7,47.92,0.88,0.14
2020-11-26 11:30:00,9.6,7.51,14.16,14.82,66.52,0.77,0.13
2020-11-26 12:30:00,14.57,16.69,18.46,18.96,65.8,0.43,0.07
2020-11-26 13:30:00,15.94,21.46,22.2,22.73,70.1,0.33,0.04
2020-11-26 14:30:00,13.02,19.31,23.14,23.78,83.69,0.39,0.01
2020-11-26 15:30:00,11.31,16.93,23.24,23.93,91.55,0.48,0.01
2020-11-26 16:30:00,11.31,16.45,22.3,23.09,90.84,0.63,0.0
2020-11-26 17:30:00,12.85,16.93,21.59,22.49,84.4,0.79,0.0
2020-11-26 18:30:00,14.22,18.12,21.83,23.01,76.53,1.0,0.0
2020-11-26 19:30:00,14.4,19.31,22.65,24.15,69.38,1.24,0.0
2020-11-26 20:30:00,14.4,20.5,23.63,25.39,62.94,1.35,0.0
2020-11-26 21:30:00,14.91,22.17,25.35,28.03,57.22,1.5,0.0
2020-11-26 22:30:00,15.42,23.6,27.57,31.3,55.08,1.52,0.0
2020-11-26 23:30:00,14.91,23.84,29.36,32.83,54.36,1.08,0.0
2020-11-27 00:30:00,14.74,25.99,32.53,35.91,54.36,0.64,0.0
2020-11-27 01:30:00,14.22,26.94,33.53,36.44,54.36,0.28,0.0
2020-11-27 02:30:00,13.37,26.94,34.03,36.49,55.08,0.01,0.0
2020-11-27 03:30:00,13.02,25.75,35.07,37.35,53.64,0.0,0.0
2020-11-27 04:30:00,13.02,23.84,38.28,40.61,50.07,0.0,0.0
2020-11-27 05:30:00,12.85,21.7,41.83,44.22,47.92,0.0,0.0
2020-11-27 06:30:00,12.51,19.07,43.53,46.02,47.21,0.0,0.0
2020-11-27 07:30:00,13.71,16.69,43.02,46.16,42.92,0.1,0.26
2020-11-27 08:30:00,9.77,8.7,32.44,35.77,45.78,1.05,1.16
2020-11-27 09:30:00,5.1,2.92,19.32,21.55,56.51,1.65,0.84
2020-11-27 10:30:00,4.58,3.58,20.5,22.09,60.08,1.63,0.64
2020-11-27 11:30:00,4.8,3.93,23.26,24.63,62.94,1.52,0.43
2020-11-27 12:30:00,4.93,3.76,22.1,23.31,61.51,1.36,0.29
2020-11-27 13:30:00,5.01,3.58,21.04,22.27,62.23,1.43,0.26
2020-11-27 14:30:00,5.18,3.52,21.52,22.85,65.8,1.65,0.26
2020-11-27 15:30:00,14.22,3.93,24.79,27.92,54.36,4.12,0.86
2020-11-27 16:30:00,30.5,4.35,29.68,35.58,32.54,6.97,2.15
2020-11-27 17:30:00,49.35,5.01,34.11,42.74,9.12,7.6,3.49
2020-11-27 18:30:00,57.58,6.62,40.52,52.77,0.34,8.23,10.17
2020-11-27 19:30:00,56.89,7.45,45.2,59.77,0.19,7.98,10.62
2020-11-27 20:30:00,54.15,7.51,45.22,58.86,2.01,6.97,4.19
2020-11-27 21:30:00,53.47,8.23,53.76,70.55,1.4,7.28,4.25
2020-11-27 22:30:00,52.78,9.89,71.47,94.08,0.1,8.87,12.63
2020-11-27 23:30:00,52.78,14.19,102.43,129.24,0.0,13.17,32.63
2020-11-28 00:30:00,50.72,16.45,133.88,160.7,0.0,16.47,53.2
2020-11-28 01:30:00,48.67,14.78,167.88,192.63,0.0,11.91,69.74
2020-11-28 02:30:00,54.84,14.54,213.64,235.03,0.0,7.09,83.15
2020-11-28 03:30:00,63.06,15.14,204.52,216.81,0.0,4.24,56.33
2020-11-28 04:30:00,50.72,10.13,191.06,199.82,0.0,4.5,45.6
2020-11-28 05:30:00,38.39,7.75,175.3,182.31,0.0,5.26,38.0
2020-11-28 06:30:00,32.56,8.58,163.66,172.11,0.0,5.76,34.42
2020-11-28 07:30:00,31.19,11.8,160.38,174.88,0.46,5.13,38.0
2020-11-28 08:30:00,33.59,16.69,147.21,165.33,4.2,4.69,42.47
2020-11-28 09:30:00,46.61,67.71,80,87.75,34.33,0.44,14.53
2020-11-28 10:30:00,44.55,74.39,69.5,77.78,44.7,0.69,13.52
2020-11-28 11:30:00,40.78,79.16,57.45,65.85,57.22,1.31,10.39
2020-11-28 12:30:00,30.16,69.62,40.6,47.06,74.39,1.01,6.15
2020-11-28 13:30:00,26.73,67.71,33.25,38.71,80.82,0.83,5.25
2020-11-28 14:30:00,26.05,66.76,27.25,32.38,73.67,0.95,5.48
2020-11-28 15:30:00,28.45,61.99,24.31,29.51,59.37,1.43,5.09
2020-11-28 16:30:00,37.36,60.08,28.16,33.66,39.7,2.25,3.63
2020-11-28 17:30:00,47.98,55.31,34.69,40.33,18.6,2.69,0.96
2020-11-28 18:30:00,58.26,40.53,43.97,51.16,4.43,3.8,1.44
2020-11-28 19:30:00,59.63,26.46,51.88,61.29,0.37,4.43,4.86
2020-11-28 20:30:00,55.52,20.27,55.51,66.85,0.13,4.62,6.26
2020-11-28 21:30:00,52.09,18.36,58.54,71.69,0.12,4.88,6.15
2020-11-28 22:30:00,50.04,18.12,59.63,73.81,0.19,5.07,5.31
2020-11-28 23:30:00,46.61,16.69,57.2,71.15,0.4,4.81,4.02
2020-11-29 00:30:00,42.5,14.66,50.59,61.76,1.23,4.05,1.96
2020-11-29 01:30:00,37.01,13.71,42.91,51.78,4.47,3.33,0.37
2020-11-29 02:30:00,29.13,13.71,35.14,41.99,11.09,2.72,0.04
2020-11-29 03:30:00,21.08,13.59,28.8,33.72,20.39,2.25,0.0
2020-11-29 04:30:00,16.28,12.16,27.22,31.02,26.46,2.15,0.0
2020-11-29 05:30:00,14.4,11.92,28.15,31.39,30.04,2.09,0.0
2020-11-29 06:30:00,15.25,13.11,30.05,33.61,30.76,2.19,0.0
2020-11-29 07:30:00,16.97,13.95,31.34,36.18,27.9,2.44,0.43
2020-11-29 08:30:00,15.94,14.9,31.22,37.14,28.25,2.6,3.07
2020-11-29 09:30:00,15.59,25.51,28.67,34.36,35.05,2.03,4.25
2020-11-29 10:30:00,19.02,35.76,28.54,34.38,36.84,1.85,4.02
2020-11-29 11:30:00,21.76,42.44,27.49,32.82,36.84,1.68,2.18
2020-11-29 12:30:00,18.17,39.1,23.66,27.62,39.7,1.3,1.51
2020-11-29 13:30:00,16.79,39.1,23.4,26.91,46.49,1.25,2.71
2020-11-29 14:30:00,16.28,37.67,25.65,29.12,55.08,1.31,3.1
2020-11-29 15:30:00,17.82,34.33,30.11,33.94,57.94,1.87,3.16
2020-11-29 16:30:00,22.96,31.47,35.99,40.67,51.5,2.44,2.74
2020-11-29 17:30:00,28.79,27.42,39.81,45.14,40.41,2.41,0.85
