date,no2,so2,pm2_5,pm10,o3,nh3,no
2020-11-25 06:30:00,16.62,20.27,116.33,127.16,59.37,5.19,0.0
2020-11-25 07:30:00,17.31,17.64,105.79,119.4,54.36,6.33,0.22
2020-11-25 08:30:00,15.94,17.41,94.2,110.36,59.37,6.97,2.15
2020-11-25 09:30:00,14.4,25.99,87.28,101.33,85.12,4.69,3.02
2020-11-25 10:30:00,14.91,30.28,93.59,107.64,115.87,5.0,2.91
2020-11-25 11:30:00,12.34,28.37,108.28,121.98,157.36,4.88,1.87
2020-11-25 12:30:00,3.34,13.35,86.29,93.79,163.08,2.06,0.42
2020-11-25 13:30:00,1.16,6.32,67.62,72.62,144.48,1.31,0.14
2020-11-25 14:30:00,0.81,4.05,61.34,65.65,133.04,1.06,0.1
2020-11-25 15:30:00,1.11,3.37,59.97,64.52,124.45,1.44,0.03
2020-11-25 16:30:00,1.76,3.34,61.85,67.57,115.87,2.34,0.02
2020-11-25 17:30:00,2.87,3.58,64.16,71.05,105.86,3.14,0.01
2020-11-25 18:30:00,4.28,4.17,66.38,74.44,97.28,3.71,0.0
2020-11-25 19:30:00,4.84,4.71,72.32,81.45,92.98,3.96,0.0
2020-11-25 20:30:00,4.33,4.89,81.55,91.65,95.84,4.02,0.0
2020-11-25 21:30:00,3.43,5.19,92.71,103.79,101.57,4.05,0.0
2020-11-25 22:30:00,2.96,5.84,97.86,109.78,101.57,4.37,0.0
2020-11-25 23:30:00,2.68,6.68,94.77,106.31,97.28,4.43,0.0
2020-11-26 00:30:00,2.96,7.03,85.91,95.4,90.12,3.74,0.0
2020-11-26 01:30:00,3.3,6.68,75.83,82.82,82.25,2.82,0.0
2020-11-26 02:30:00,3.3,6.38,68.89,73.81,75.82,2.09,0.0
2020-11-26 03:30:00,3.38,6.38,60.22,63.6,70.1,1.47,0.0
2020-11-26 04:30:00,3.47,5.9,51.99,54.54,65.09,1.14,0.0
2020-11-26 05:30:00,3.17,4.59,43.46,45.68,60.8,1.08,0.0
2020-11-26 06:30:00,2.53,2.71,33.01,35.34,57.22,1.2,0.0
2020-11-26 07:30:00,2.1,1.52,27.88,31.02,55.79,1.43,0.0
2020-11-26 08:30:00,2.04,1.07,30.8,34.78,60.8,1.62,0.06
