Date,no2,so2,pm2_5,pm10,o3,nh3,no
2020-11-25 00:00:00,7.34,3.64,25.72,29.03,73.95,2.45,0.05
2020-11-26 00:00:00,5.03,2.3,9.2,10.46,74.76,1.83,0.05
2020-11-27 00:00:00,6.96,2.77,20.86,23.63,58.51,2.52,0.26
2020-11-28 00:00:00,6.13,4.45,30.75,33.2,66.65,1.61,0.23
2020-11-29 00:00:00,2.48,2.44,11.28,11.97,59.13,0.83,0.06
2020-11-30 00:00:00,2.15,0.52,8.14,9.03,68.17,1.14,0.04
2020-12-01 00:00:00,3.21,0.68,32.38,37.05,71.88,2.09,0.09
2020-12-02 00:00:00,4.64,1.66,31.14,36.38,63.46,1.89,0.14
2020-12-03 00:00:00,7.4,3.76,34.46,35.88,69.44,1.09,0.05
2020-12-04 00:00:00,5.55,2.12,20.93,21.6,42.63,0.83,0.08
2020-12-05 00:00:00,4.05,1.32,6.6,7.45,37.67,1.12,0.05
2020-12-06 00:00:00,3.14,0.95,5.87,6.44,44.54,0.84,0.02
2020-12-07 00:00:00,6.02,1.84,5.28,5.76,25.58,0.63,0.08
2020-12-08 00:00:00,3.5,3.36,9.57,10.14,51.96,0.54,0.1
2020-12-09 00:00:00,2.72,2.37,14.09,15.3,59.44,0.8,0.09
2020-12-10 00:00:00,3.18,1.67,25.68,29.13,62.62,1.28,0.08
2020-12-11 00:00:00,5.53,2.12,51.18,58.74,67.16,1.47,0.18
2020-12-12 00:00:00,5.5,1.18,60.94,66.91,62.84,2.19,0.11
2020-12-13 00:00:00,6.77,1.22,52.5,58.35,52.55,3.79,0.45
2020-12-14 00:00:00,6.03,2.42,56.84,63.56,62.38,2.48,0.56
2020-12-15 00:00:00,5.27,2.24,40.25,45.32,63.0,1.81,0.13
2020-12-16 00:00:00,3.17,0.63,24.71,26.48,66.58,1.18,0.06
2020-12-17 00:00:00,3.22,1.22,11.42,12.13,61.57,0.84,0.02
2020-12-18 00:00:00,2.69,0.49,7.29,8.69,61.1,1.23,0.07
2020-12-19 00:00:00,2.76,0.7,14.64,17.6,62.14,1.38,0.05
2020-12-20 00:00:00,2.7,1.38,28.92,32.23,84.94,1.08,0.04
2020-12-21 00:00:00,3.93,1.19,38.83,45.85,77.07,1.54,0.05
