Date,no2,so2,pm2_5,pm10,o3,nh3,no
2020-11-25 00:00:00,8.69,11.22,19.62,21.07,71.72,0.78,0.02
2020-11-26 00:00:00,10.79,14.83,22.15,23.48,72.51,0.73,0.02
2020-11-27 00:00:00,23.69,11.84,37.88,44.47,38.35,3.44,3.55
2020-11-28 00:00:00,43.94,35.79,94.98,106.19,20.55,4.34,23.08
2020-11-29 00:00:00,21.8,23.07,36.83,42.77,37.15,2.27,1.27
2020-11-30 00:00:00,16.33,20.54,85.47,103.09,92.72,2.52,0.16
2020-12-01 00:00:00,12.15,15.91,85.23,110.2,97.72,2.76,0.17
2020-12-02 00:00:00,10.96,15.7,84.16,93.67,112.5,1.44,0.0
2020-12-03 00:00:00,18.99,21.98,32.78,35.31,56.92,1.59,0.02
2020-12-04 00:00:00,21.37,24.64,29.42,32.04,58.12,1.68,0.07
2020-12-05 00:00:00,14.96,18.14,24.9,27.2,53.14,1.36,0.0
2020-12-06 00:00:00,22.72,27.56,18.02,20.3,31.91,1.75,0.19
2020-12-07 00:00:00,35.06,39.46,36.15,39.7,34.15,2.66,0.1
2020-12-08 00:00:00,34.74,39.27,47.05,52.52,39.32,2.74,1.25
2020-12-09 00:00:00,36.82,39.87,93.21,108.68,58.01,2.62,0.89
2020-12-10 00:00:00,47.91,32.69,111.94,136.45,45.62,3.47,1.76
2020-12-11 00:00:00,34.98,18.35,135.93,157.69,60.25,2.16,0.57
2020-12-12 00:00:00,25.69,18.72,121.86,140.13,69.29,2.52,0.46
2020-12-13 00:00:00,25.84,22.9,99.38,114.7,59.85,2.81,0.44
2020-12-14 00:00:00,48.42,31.4,104.2,125.67,38.26,5.21,2.35
2020-12-15 00:00:00,25.72,22.57,106.87,127.73,66.29,2.77,0.51
2020-12-16 00:00:00,28.22,30.17,74.58,86.09,62.6,2.77,0.03
2020-12-17 00:00:00,26.5,30.07,52.77,65.77,65.8,3.08,0.21
2020-12-18 00:00:00,19.09,19.45,40.8,54.93,65.69,2.86,0.46
2020-12-19 00:00:00,18.39,22.64,80.0,97.32,91.58,1.22,0.5
2020-12-20 00:00:00,15.17,20.38,82.78,99.07,103.03,0.94,0.41
2020-12-21 00:00:00,21.13,22.42,82.19,106.55,97.1,3.22,0.48
2020-12-22 00:00:00,26.3,22.73,75.64,98.08,80.67,4.82,0.4
2020-12-23 00:00:00,29.1,21.5,78.54,100.74,81.15,4.36,0.6
2020-12-24 00:00:00,27.47,18.78,77.44,98.98,77.92,4.85,0.76
2020-12-25 00:00:00,19.97,17.96,79.2,96.27,84.76,4.25,0.61
2020-12-26 00:00:00,17.33,14.06,105.63,125.84,87.95,3.14,0.34
2020-12-27 00:00:00,12.24,13.66,144.65,167.53,115.24,2.23,0.22
2020-12-28 00:00:00,16.86,19.1,140.57,163.17,102.13,2.7,0.21
2020-12-29 00:00:00,17.29,23.13,89.79,113.32,97.1,2.3,0.19
2020-12-30 00:00:00,19.79,22.96,68.75,83.75,88.01,2.05,0.36
2020-12-31 00:00:00,22.24,28.36,67.92,88.45,90.45,2.79,0.27
2021-01-01 00:00:00,26.18,25.48,91.72,120.81,92.15,4.07,0.26
2021-01-02 00:00:00,15.68,16.3,38.95,48.62,69.5,2.48,0.04
2021-01-03 00:00:00,16.61,20.99,33.69,43.5,66.94,2.23,0.49
2021-01-04 00:00:00,25.06,29.29,41.01,51.01,60.51,3.08,1.15
2021-01-05 00:00:00,40.36,42.69,53.96,59.05,32.23,2.97,0.18
2021-01-06 00:00:00,46.38,50.58,60.01,64.85,19.88,3.08,4.45
2021-01-07 00:00:00,39.54,39.83,57.29,64.47,17.39,2.9,1.51
2021-01-08 00:00:00,41.25,42.93,57.29,65.76,17.92,3.2,4.34
2021-01-09 00:00:00,26.87,22.9,50.14,60.36,27.5,3.09,0.97
2021-01-10 00:00:00,17.36,20.13,52.63,64.92,50.55,2.03,0.41
2021-01-11 00:00:00,18.03,19.39,57.71,69.15,47.39,2.05,0.03
2021-01-12 00:00:00,17.56,19.58,46.38,57.21,45.64,2.09,0.22
2021-01-13 00:00:00,23.3,21.0,56.38,70.84,46.65,2.28,0.8
2021-01-14 00:00:00,26.2,24.68,107.05,123.6,52.51,0.99,0.66
2021-01-15 00:00:00,37.45,31.52,102.8,122.83,43.29,1.93,1.01
2021-01-16 00:00:00,36.47,24.82,81.6,98.98,48.55,2.97,1.48
2021-01-17 00:00:00,31.15,25.83,80.19,94.17,48.27,3.86,3.44
2021-01-18 00:00:00,32.54,25.36,66.6,82.74,57.76,3.47,0.72
2021-01-19 00:00:00,21.96,21.32,66.56,82.09,74.63,1.98,0.73
2021-01-20 00:00:00,22.37,24.31,72.29,87.1,66.3,2.25,0.28
2021-01-21 00:00:00,50.86,56.36,81.59,96.54,32.26,2.81,3.72
2021-01-22 00:00:00,57.76,46.7,103.5,113.65,21.8,2.94,10.45
2021-01-23 00:00:00,41.11,39.2,74.79,86.81,17.75,4.98,17.49
2021-01-24 00:00:00,50.08,35.74,94.07,104.72,14.3,4.73,13.56
2021-01-25 00:00:00,57.38,43.53,89.33,102.67,23.86,4.8,6.82
2021-01-26 00:00:00,53.1,35.62,81.94,99.14,35.93,4.65,4.54
2021-01-27 00:00:00,56.15,8.04,178.44,210.84,0.18,6.12,8.91
2021-01-28 00:00:00,36.73,36.03,71.27,88.07,74.69,2.92,1.45
2021-01-29 00:00:00,36.87,29.3,122.09,149.03,84.12,2.68,0.68
2021-01-30 00:00:00,31.18,25.27,165.09,191.32,86.62,1.76,0.58
2021-01-31 00:00:00,26.85,28.34,133.88,155.32,79.11,2.43,0.98
2021-02-01 00:00:00,24.81,26.81,53.72,70.0,67.23,3.67,1.15
