Date,no2,so2,pm2_5,pm10,o3,nh3,no
2020-11-25 00:00:00,6.95,11.41,84.02,93.92,105.82,3.83,0.6
2020-11-26 00:00:00,4.44,3.81,37.13,39.96,68.19,1.52,0.01
2020-11-27 00:00:00,8.96,8.29,73.8,75.3,46.46,0.73,0.1
2020-11-28 00:00:00,3.45,3.19,31.67,32.93,49.9,0.88,0.05
2020-11-29 00:00:00,1.65,1.64,36.25,38.85,80.23,2.11,0.03
2020-11-30 00:00:00,3.06,3.5,50.28,57.52,85.83,4.02,0.04
2020-12-01 00:00:00,3.32,2.41,64.97,74.8,66.37,3.64,0.07
2020-12-02 00:00:00,8.71,6.03,86.05,100.48,86.55,4.91,0.22
2020-12-03 00:00:00,3.99,4.21,88.31,101.04,93.15,3.19,0.1
2020-12-04 00:00:00,5.05,7.47,110.85,122.39,105.8,2.73,0.1
2020-12-05 00:00:00,2.65,2.92,90.35,98.9,100.58,3.08,0.08
2020-12-06 00:00:00,2.35,3.49,90.18,97.28,102.13,2.12,0.05
2020-12-07 00:00:00,1.94,2.92,52.64,57.94,91.79,2.42,0.05
2020-12-08 00:00:00,2.24,3.37,49.64,55.72,91.16,3.14,0.05
2020-12-09 00:00:00,2.29,3.25,58.62,65.07,97.72,3.76,0.05
2020-12-10 00:00:00,2.86,2.51,57.56,63.53,87.05,4.78,0.07
2020-12-11 00:00:00,4.88,3.16,63.42,71.39,81.39,5.14,0.12
2020-12-12 00:00:00,3.26,2.9,89.05,95.4,88.54,3.11,0.08
2020-12-13 00:00:00,3.64,2.08,99.09,106.03,78.59,3.9,0.07
2020-12-14 00:00:00,4.05,2.27,89.86,97.07,86.9,4.25,0.09
2020-12-15 00:00:00,1.81,1.54,87.9,93.9,88.46,1.55,0.04
2020-12-16 00:00:00,1.99,2.92,82.39,90.78,82.73,1.93,0.03
2020-12-17 00:00:00,2.97,2.38,54.82,63.92,76.06,3.17,0.04
2020-12-18 00:00:00,10.56,5.15,104.18,116.86,73.05,3.75,0.05
2020-12-19 00:00:00,10.62,6.75,95.05,105.75,68.68,5.76,0.08
2020-12-20 00:00:00,13.41,9.42,74.18,85.63,71.38,7.25,0.44
2020-12-21 00:00:00,16.12,13.56,81.56,98.27,79.67,9.0,0.43
2020-12-22 00:00:00,7.4,6.12,85.22,101.96,85.91,7.82,0.13
2020-12-23 00:00:00,3.46,3.83,113.6,124.22,98.56,4.55,0.09
2020-12-24 00:00:00,2.72,4.16,103.63,113.95,104.43,3.1,0.06
2020-12-25 00:00:00,3.01,4.67,101.13,112.25,100.82,3.18,0.05
2020-12-26 00:00:00,2.79,7.08,134.7,146.76,100.91,2.65,0.04
2020-12-27 00:00:00,3.11,5.14,142.36,154.8,97.45,3.55,0.05
2020-12-28 00:00:00,4.25,2.56,144.96,158.12,85.9,4.55,0.09
2020-12-29 00:00:00,2.84,2.67,140.94,150.59,95.73,2.88,0.06
2020-12-30 00:00:00,1.74,5.7,130.82,140.5,115.69,1.06,0.04
2020-12-31 00:00:00,1.72,5.32,101.3,115.22,105.62,1.47,0.02
2021-01-01 00:00:00,2.17,4.37,125.56,140.29,107.86,1.66,0.03
2021-01-02 00:00:00,2.0,3.4,114.45,126.5,104.64,2.23,0.03
2021-01-03 00:00:00,1.6,4.26,116.56,125.82,112.83,1.84,0.04
2021-01-04 00:00:00,1.42,2.93,89.27,102.71,109.26,2.48,0.04
2021-01-05 00:00:00,3.19,1.01,34.06,42.8,66.04,3.89,0.1
2021-01-06 00:00:00,2.03,0.81,24.19,28.34,54.0,1.55,0.02
